사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
Dec-23,1호선,150,서울역,1442704 ,1404121 ,211843 ,203808 ,2024-01-03 9:18
Dec-23,1호선,151,시청,696784 ,684254 ,99882 ,98107 ,2024-01-03 9:18
Dec-23,1호선,152,종각,1010849 ,985165 ,162696 ,152064 ,2024-01-03 9:18
Dec-23,1호선,153,종로3가,488467 ,450427 ,310689 ,286850 ,2024-01-03 9:18
Dec-23,1호선,154,종로5가,483866 ,476917 ,246504 ,239266 ,2024-01-03 9:18
Dec-23,1호선,155,동대문,236114 ,228110 ,128542 ,127639 ,2024-01-03 9:18
Dec-23,1호선,156,신설동,289402 ,276992 ,120282 ,116775 ,2024-01-03 9:18
Dec-23,1호선,157,제기동,231358 ,219338 ,256218 ,272510 ,2024-01-03 9:18
Dec-23,1호선,158,청량리(서울시립대입구),380606 ,372443 ,274847 ,276209 ,2024-01-03 9:18
Dec-23,1호선,159,동묘앞,144443 ,150931 ,146515 ,148571 ,2024-01-03 9:18
Dec-23,2호선,201,시청,697558 ,629317 ,61727 ,56189 ,2024-01-03 9:18
Dec-23,2호선,202,을지로입구,1399572 ,1418244 ,119872 ,110914 ,2024-01-03 9:18
Dec-23,2호선,203,을지로3가,649983 ,636802 ,78399 ,76370 ,2024-01-03 9:18
Dec-23,2호선,204,을지로4가,317873 ,326029 ,77737 ,77350 ,2024-01-03 9:18
Dec-23,2호선,205,동대문역사문화공원(DDP),397184 ,470844 ,59972 ,64609 ,2024-01-03 9:18
Dec-23,2호선,206,신당,346163 ,372336 ,93120 ,95854 ,2024-01-03 9:18
Dec-23,2호선,207,상왕십리,353125 ,340449 ,69110 ,69442 ,2024-01-03 9:18
Dec-23,2호선,208,왕십리(성동구청),422889 ,379790 ,55587 ,49671 ,2024-01-03 9:18
Dec-23,2호선,209,한양대,292705 ,319697 ,13543 ,14494 ,2024-01-03 9:18
Dec-23,2호선,210,뚝섬,659564 ,693655 ,61554 ,61652 ,2024-01-03 9:18
Dec-23,2호선,211,성수,1149979 ,1264676 ,102429 ,103810 ,2024-01-03 9:18
Dec-23,2호선,212,건대입구,1045524 ,1115033 ,98723 ,102276 ,2024-01-03 9:18
Dec-23,2호선,213,구의(광진구청),613573 ,592710 ,108726 ,109469 ,2024-01-03 9:18
Dec-23,2호선,214,강변(동서울터미널),836412 ,791150 ,123772 ,118326 ,2024-01-03 9:18
Dec-23,2호선,215,잠실나루,336712 ,323745 ,91495 ,90966 ,2024-01-03 9:18
Dec-23,2호선,216,잠실(송파구청),2407622 ,2389008 ,230837 ,222781 ,2024-01-03 9:18
Dec-23,2호선,217,잠실새내,591563 ,597566 ,116613 ,114943 ,2024-01-03 9:18
Dec-23,2호선,218,종합운동장,240493 ,264095 ,48865 ,50666 ,2024-01-03 9:18
Dec-23,2호선,219,삼성(무역센터),1547955 ,1528549 ,128153 ,117439 ,2024-01-03 9:18
Dec-23,2호선,220,선릉,1301816 ,1146995 ,226642 ,198162 ,2024-01-03 9:18
Dec-23,2호선,221,역삼,1171020 ,1334723 ,150688 ,153741 ,2024-01-03 9:18
Dec-23,2호선,222,강남,2147804 ,2103543 ,167806 ,145911 ,2024-01-03 9:18
Dec-23,2호선,223,교대(법원.검찰청),698451 ,849482 ,155703 ,188110 ,2024-01-03 9:18
Dec-23,2호선,224,서초,540940 ,515045 ,97642 ,97923 ,2024-01-03 9:18
Dec-23,2호선,225,방배,404154 ,419595 ,80096 ,79508 ,2024-01-03 9:18
Dec-23,2호선,226,사당,1022015 ,1129342 ,238624 ,224078 ,2024-01-03 9:18
Dec-23,2호선,227,낙성대(강감찬),697376 ,663721 ,109130 ,111635 ,2024-01-03 9:18
Dec-23,2호선,228,서울대입구(관악구청),1171481 ,1139798 ,181344 ,171398 ,2024-01-03 9:18
Dec-23,2호선,229,봉천,548024 ,500084 ,152147 ,150810 ,2024-01-03 9:18
Dec-23,2호선,230,신림,1416606 ,1350430 ,208689 ,206669 ,2024-01-03 9:18
Dec-23,2호선,231,신대방,617971 ,588536 ,129595 ,130197 ,2024-01-03 9:18
Dec-23,2호선,232,구로디지털단지,1430091 ,1403831 ,196977 ,196563 ,2024-01-03 9:18
Dec-23,2호선,233,대림(구로구청),584957 ,597963 ,132813 ,136621 ,2024-01-03 9:18
Dec-23,2호선,234,신도림,1264678 ,1257867 ,233371 ,221381 ,2024-01-03 9:18
Dec-23,2호선,235,문래,548232 ,567077 ,88254 ,88222 ,2024-01-03 9:18
Dec-23,2호선,236,영등포구청,515106 ,535201 ,103404 ,102121 ,2024-01-03 9:18
Dec-23,2호선,237,당산,452274 ,526081 ,60369 ,65450 ,2024-01-03 9:18
Dec-23,2호선,238,합정,936774 ,1031529 ,72107 ,72715 ,2024-01-03 9:18
Dec-23,2호선,239,홍대입구,2177364 ,2372022 ,103855 ,101215 ,2024-01-03 9:18
Dec-23,2호선,240,신촌,1037856 ,1067467 ,126570 ,125203 ,2024-01-03 9:18
