"행정구역","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상","2023년12월_남_총인구수","2023년12월_남_연령구간인구수","2023년12월_남_0~9세","2023년12월_남_10~19세","2023년12월_남_20~29세","2023년12월_남_30~39세","2023년12월_남_40~49세","2023년12월_남_50~59세","2023년12월_남_60~69세","2023년12월_남_70~79세","2023년12월_남_80~89세","2023년12월_남_90~99세","2023년12월_남_100세 이상","2023년12월_여_총인구수","2023년12월_여_연령구간인구수","2023년12월_여_0~9세","2023년12월_여_10~19세","2023년12월_여_20~29세","2023년12월_여_30~39세","2023년12월_여_40~49세","2023년12월_여_50~59세","2023년12월_여_60~69세","2023년12월_여_70~79세","2023년12월_여_80~89세","2023년12월_여_90~99세","2023년12월_여_100세 이상"
"서울특별시  (1100000000)","9,386,034","9,386,034","513,562","733,211","1,355,811","1,427,405","1,420,073","1,495,557","1,315,938","738,469","339,214","45,346","1,448","4,540,031","4,540,031","263,448","375,346","643,229","713,915","703,001","734,760","622,855","334,075","137,024","12,059","319","4,846,003","4,846,003","250,114","357,865","712,582","713,490","717,072","760,797","693,083","404,394","202,190","33,287","1,129"
"서울특별시 종로구 (1111000000)","139,417","139,417","5,919","9,739","21,496","19,322","19,194","23,915","20,689","11,503","6,644","961","35","67,306","67,306","2,989","4,776","10,174","9,648","9,291","11,854","10,365","5,211","2,674","315","9","72,111","72,111","2,930","4,963","11,322","9,674","9,903","12,061","10,324","6,292","3,970","646","26"
"서울특별시 중구 (1114000000)","121,312","121,312","5,630","6,156","17,537","20,864","16,769","19,068","18,333","10,491","5,561","876","27","58,659","58,659","2,879","3,090","7,979","10,432","8,544","9,529","9,137","4,735","2,101","228","5","62,653","62,653","2,751","3,066","9,558","10,432","8,225","9,539","9,196","5,756","3,460","648","22"
"서울특별시 용산구 (1117000000)","213,151","213,151","11,089","13,620","30,103","37,410","31,288","34,317","29,326","15,622","8,905","1,415","56","102,312","102,312","5,660","6,929","13,849","18,615","15,470","16,765","14,294","6,880","3,409","429","12","110,839","110,839","5,429","6,691","16,254","18,795","15,818","17,552","15,032","8,742","5,496","986","44"
"서울특별시 성동구 (1120000000)","277,361","277,361","16,893","17,851","40,979","45,664","40,926","44,449","38,578","20,407","10,317","1,253","44","134,519","134,519","8,690","8,924","19,821","22,357","20,525","21,870","18,883","9,126","3,976","333","14","142,842","142,842","8,203","8,927","21,158","23,307","20,401","22,579","19,695","11,281","6,341","920","30"
"서울특별시 광진구 (1121500000)","335,554","335,554","15,208","23,804","58,849","54,943","48,103","53,156","45,536","23,571","10,928","1,413","43","161,277","161,277","7,788","12,002","27,297","27,423","23,573","25,844","21,765","10,740","4,442","390","13","174,277","174,277","7,420","11,802","31,552","27,520","24,530","27,312","23,771","12,831","6,486","1,023","30"
"서울특별시 동대문구 (1123000000)","341,149","341,149","18,302","22,607","56,872","49,462","48,695","52,540","48,556","28,348","14,080","1,630","57","167,346","167,346","9,298","11,488","27,005","25,472","25,068","26,513","23,638","12,757","5,654","442","11","173,803","173,803","9,004","11,119","29,867","23,990","23,627","26,027","24,918","15,591","8,426","1,188","46"
"서울특별시 중랑구 (1126000000)","382,155","382,155","19,114","23,960","50,042","57,817","53,139","64,730","63,318","33,269","14,880","1,833","53","187,372","187,372","9,738","12,269","23,994","29,472","27,692","31,934","30,643","15,193","5,996","433","8","194,783","194,783","9,376","11,691","26,048","28,345","25,447","32,796","32,675","18,076","8,884","1,400","45"
"서울특별시 성북구 (1129000000)","425,602","425,602","24,097","35,002","64,693","56,113","63,436","70,949","58,000","33,630","17,411","2,212","59","204,171","204,171","12,368","17,791","30,425","28,099","31,187","34,948","27,235","14,629","6,874","600","15","221,431","221,431","11,729","17,211","34,268","28,014","32,249","36,001","30,765","19,001","10,537","1,612","44"
"서울특별시 강북구 (1130500000)","288,113","288,113","11,575","19,141","38,155","34,997","39,902","50,265","47,856","29,760","14,811","1,604","47","139,514","139,514","5,949","9,756","18,226","18,431","20,593","24,859","22,582","12,750","5,913","442","13","148,599","148,599","5,626","9,385","19,929","16,566","19,309","25,406","25,274","17,010","8,898","1,162","34"
"서울특별시 도봉구 (1132000000)","306,948","306,948","14,242","22,372","37,439","37,607","42,514","54,263","52,978","28,964","14,577","1,934","58","148,796","148,796","7,365","11,583","18,646","19,325","21,327","25,879","24,988","13,311","5,834","523","15","158,152","158,152","6,877","10,789","18,793","18,282","21,187","28,384","27,990","15,653","8,743","1,411","43"
