"행정구역","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상"
"서울특별시  (1100000000)","9,386,034","9,386,034","513,562","733,211","1,355,811","1,427,405","1,420,073","1,495,557","1,315,938","738,469","339,214","45,346","1,448"
"서울특별시 종로구 (1111000000)","139,417","139,417","5,919","9,739","21,496","19,322","19,194","23,915","20,689","11,503","6,644","961","35"
"서울특별시 종로구 청운효자동(1111051500)","11,349","11,349","596","1,084","1,402","1,512","1,891","1,914","1,414","901","552","80","3"
"서울특별시 종로구 사직동(1111053000)","8,998","8,998","462","661","1,044","1,413","1,409","1,478","1,246","689","503","88","5"
"서울특별시 종로구 삼청동(1111054000)","2,248","2,248","86","163","238","282","317","351","382","251","146","30","2"
"서울특별시 종로구 부암동(1111055000)","9,085","9,085","381","815","1,102","1,172","1,387","1,633","1,342","744","431","75","3"
"서울특별시 종로구 평창동(1111056000)","17,387","17,387","996","1,538","2,004","2,061","2,483","3,158","2,783","1,397","812","146","9"
"서울특별시 종로구 무악동(1111057000)","7,961","7,961","546","925","823","812","1,301","1,435","1,089","605","375","46","4"
"서울특별시 종로구 교남동(1111058000)","9,715","9,715","741","786","1,143","1,407","1,695","1,625","1,195","692","386","45","0"
"서울특별시 종로구 가회동(1111060000)","3,860","3,860","148","314","406","503","633","690","547","369","219","31","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,683","6,683","170","204","950","975","840","1,121","1,313","695","367","46","2"
"서울특별시 종로구 종로5.6가동(1111063000)","5,384","5,384","156","203","1,180","889","571","857","796","465","233","34","0"
"서울특별시 종로구 이화동(1111064000)","6,899","6,899","171","316","1,495","1,220","793","1,002","936","581","340","45","0"
"서울특별시 종로구 혜화동(1111065000)","15,869","15,869","512","1,181","4,287","2,039","1,912","2,309","1,720","1,075","725","103","6"
"서울특별시 종로구 창신제1동(1111067000)","4,521","4,521","107","173","522","620","501","840","990","492","252","24","0"
